text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
"With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WIN!

OUR FOUR PILLARS OF NATIONAL SECURITY STRATEGY: https://t.co/B3POaMVID8",Mon Dec 18 23:49:30 +0000 2017,Media Studio,False,15917,,Mon Dec 18 23:49:30 +0000 2017
70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!,Mon Dec 18 22:25:20 +0000 2017,Twitter for iPhone,False,21796,,Mon Dec 18 22:25:20 +0000 2017
Thank you Maria B! https://t.co/v1UR63CqLK,Mon Dec 18 22:20:20 +0000 2017,Twitter for iPhone,False,8803,,Mon Dec 18 22:20:20 +0000 2017
So true Ivanka! https://t.co/BNGUJG69Ki,Mon Dec 18 22:18:13 +0000 2017,Twitter for iPhone,False,8878,,Mon Dec 18 22:18:13 +0000 2017
"As the world watches, we are days away from passing HISTORIC TAX CUTS for American families and businesses. It will be the BIGGEST TAX CUT and TAX REFORM in the HISTORY of our country! https://t.co/EvcAkjuf8w",Mon Dec 18 20:40:08 +0000 2017,Twitter for iPhone,False,10165,,Mon Dec 18 20:40:08 +0000 2017
"When the American People speak, ALL OF US should listen. Just over one year ago, you spoke loud and clear. On November 8, 2016, you voted to MAKE AMERICA GREAT AGAIN! https://t.co/3AOv53S0PU",Mon Dec 18 20:28:19 +0000 2017,Twitter for iPhone,False,10464,,Mon Dec 18 20:28:19 +0000 2017
"Over the past 11 months, I have travelled tens of thousands of miles, to visit 13 countries. I have met with more than 100 world leaders and everywhere I traveled, it was my highest privilege and greatest honor to represent the AMERICAN PEOPLE! https://t.co/7SDsEeIhJH",Mon Dec 18 20:19:18 +0000 2017,Twitter for iPhone,False,13160,,Mon Dec 18 20:19:18 +0000 2017
Our deepest sympathies and most heartfelt prayers are with the victims of the train derailment in Washington State. We are closely monitoring the situation and coordinating with local authorities... https://t.co/Gyf5BdVm4G,Mon Dec 18 19:35:38 +0000 2017,Twitter for iPhone,False,8892,,Mon Dec 18 19:35:38 +0000 2017
"My thoughts and prayers are with everyone involved in the train accident in DuPont, Washington. Thank you to all of our wonderful First Responders who are on the scene. We are currently monitoring here at the White House.",Mon Dec 18 18:51:26 +0000 2017,Twitter for iPhone,False,15241,,Mon Dec 18 18:51:26 +0000 2017
"The train accident that just occurred in DuPont, WA shows more than ever why our soon to be submitted infrastructure plan must be approved quickly. Seven trillion dollars spent in the Middle East while our roads, bridges, tunnels, railways (and more) crumble! Not for long!",Mon Dec 18 18:41:05 +0000 2017,Twitter for iPhone,False,23417,,Mon Dec 18 18:41:05 +0000 2017
